message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"比台大、奧斯卡、NBA…更難擠進的窄門─麥當勞美味鷄肉系列，現在最後兩強鼎立，『法式田園鷄腿堡』PK『勁辣鷄腿堡』，只有1個能進入！粉絲們，快來按讚捍衛你的最愛啊！
http://www.mcdonalds.com.tw/Campaign_201203_12155/?ref=fbwall",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/346254238750600/?type=3,https://www.facebook.com/mcdonalds.tw/posts/346254295417261:0,2012-03-07T03:00:47+0000,photo,Timeline Photos,101615286547831_346254238750600,153,1838,NONE,1838,false,false,chronological,73,false
"因為四盎司牛肉堡，『四盎司』已成為一種過癮的新單位！它的超厚牛肉+特濃吉事，就像『四盎司』的鐵漢柔情，令人流下『四盎司』的感動眼淚！現在請給一個重量級『四盎司』的讚吧！
http://www.mcdonalds.com.tw/#/news_qpc",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/332957546746936/?type=3,https://www.facebook.com/mcdonalds.tw/posts/332957576746933:0,2012-02-15T04:18:47+0000,photo,Timeline Photos,101615286547831_332957546746936,64,2185,NONE,2185,false,false,chronological,123,false
"偏偏想在”晚上”點超值午餐？麥當勞限時推出『超值晚餐』，晚間17:00-20:00，晚餐同享超值午餐價$79起！快揪好友超值晚點名吧！
http://www.mcdonalds.com.tw/#/news_valuedinner",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/328057450570279/?type=3,https://www.facebook.com/mcdonalds.tw/posts/328057467236944:0,2012-02-08T04:13:16+0000,photo,Timeline Photos,101615286547831_328057450570279,3130,6319,NONE,6319,false,false,chronological,163,false
"多一道餐點，多一點享受，只要+＄29？！
現在點任何套餐+＄29就有四塊麥克鷄塊，把套餐變得更豪華了，限時超值，一定要對自己好一點啊！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/323327071043317/?type=3,https://www.facebook.com/mcdonalds.tw/posts/323327087709982:0,2012-02-01T07:56:10+0000,photo,Timeline Photos,101615286547831_323327071043317,125,1932,NONE,1932,false,false,chronological,102,false
難得歡樂的春節假期，電影台好戲每部都想看！4人方城之戰走不開，卻又剛好肚子餓！? 麥當勞24hr歡樂送，一通電話立刻美味送到家! 金黃酥嫩的20塊麥克鷄塊搭配2杯飲料，快樂分享餐只要$199！有了歡樂送，讓你歡樂ING不中斷! 還不快打40-666-888!,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/315775941798430/?type=3,https://www.facebook.com/mcdonalds.tw/posts/315775968465094:0,2012-01-21T03:55:30+0000,photo,Timeline Photos,101615286547831_315775941798430,126,1461,NONE,1461,false,false,chronological,110,false
"誰是你的海綿寶寶，今年讓你笑很大？
臉書上哪5位朋友，就像海綿寶寶家族，最知道你的笑穴在哪，總有辦法逗你開心？他們為你搞笑ㄧ年，你ㄧ定要知道他們是誰！
http://www.mcdonalds.com.tw/Campaign_spongebob/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/314706668572024/?type=3,https://www.facebook.com/mcdonalds.tw/posts/314706685238689:0,2012-01-19T13:39:49+0000,photo,Timeline Photos,101615286547831_314706668572024,110,1011,NONE,1011,false,false,chronological,23,false
市面上找不到的海綿寶寶百變玩具公仔，限量不再版，珍藏推出！看海綿寶寶×超人，還有海綿寶寶×太空人…款款都是首次突破演出，8款大全套，完整蒐集最值得！http://www.mcdonalds.com.tw/#/child/toy/?page=latest,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/313912121984812/?type=3,https://www.facebook.com/mcdonalds.tw/posts/313912145318143:0,2012-01-18T07:05:04+0000,photo,Timeline Photos,101615286547831_313912121984812,286,950,NONE,950,false,false,chronological,48,false
"不夠!不夠!還想要更多!?麥當勞給你大加碼!推出「黃金九塊麥克鷄塊餐」，吃得更過癮、滿足你對麥克鷄塊的口欲! 搭配新沾醬，輕辣酸甜泰式風味醬、香濃滑順法式蜂蜜芥末醬，還有經典糖醋醬!讓你口口都是絕配!
http://www.mcdonalds.com.tw/#/news_9pcsMcNuggets",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/312702872105737/?type=3,https://www.facebook.com/mcdonalds.tw/posts/312702902105734:0,2012-01-16T09:40:28+0000,photo,Timeline Photos,101615286547831_312702872105737,197,1495,NONE,1495,false,false,chronological,73,false
"年節返鄉，塞車塞到肚子餓!!! 到麥當勞得來速，享受美食超方便! 現在手機下載『導航王APP』，不但輕鬆找到麥當勞得來速，還可享有得來速VIP專屬優惠!快拿起手機即刻下載! 詳情請見官網：
http://www.mcdonalds.com.tw/#/news_drivethroughvip",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/310810498961641/?type=3,https://www.facebook.com/mcdonalds.tw/posts/310810515628306:0,2012-01-13T06:56:22+0000,photo,Timeline Photos,101615286547831_310810498961641,34,515,NONE,515,false,false,chronological,29,false
"海綿寶寶下半身變成蟹老闆的腳!? 章魚哥的身體變成了派大星!? 身體全部大風吹!?只要動動手指，隨我歡樂拼、隨意變! 麥當勞推出海綿寶寶拼樂公仔，一隻只要$49，擁有越多隻歡樂拼更多，新年一起跟海綿寶寶拼快樂!
www.mcdonalds.com.tw/redir.php?to=news_SpongeBob",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/308280849214606/?type=3,https://www.facebook.com/mcdonalds.tw/posts/308280875881270:0,2012-01-09T04:19:43+0000,photo,Timeline Photos,101615286547831_308280849214606,554,1190,NONE,1190,false,false,chronological,60,false
"2012新年新希望，對自己好一點幫荷包省一點！麥當勞幫你滿足願望，現在推出精省優惠券，薯餅買一送一、麥脆鷄只要+$29、大麥克超值全餐半價…，一券在手 餐餐都多省一點！ 限期優惠，千萬要把握！
http://www.mcdonalds.com.tw/Campaign_201201_11967/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/306719762704048/?type=3,https://www.facebook.com/mcdonalds.tw/posts/306719799370711:0,2012-01-06T16:43:42+0000,photo,Timeline Photos,101615286547831_306719762704048,1064,2745,NONE,2745,false,false,chronological,101,false
"跨年最後倒數！你打算熱鬧看煙火、當K歌之王、或乾脆整晚續攤？無論哪一種，晚上10:00後麥當勞大薯買一送一，挺你到最後一秒，讓你跨年的快樂電力滿格！
http://www.mcdonalds.com.tw/#/news_Large_Fries",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/302357999806891/?type=3,https://www.facebook.com/mcdonalds.tw/posts/302358016473556:0,2011-12-30T04:11:54+0000,photo,Timeline Photos,101615286547831_302357999806891,4070,3809,NONE,3809,false,false,chronological,180,false
歲末獻祝福，傳簡訊、寄E-card…對於200%特濃交情的朋友，哪夠表達1%的心意？現在雙層四盎司牛肉堡，給你雙層超厚塗鴉牆，獻上超厚祝福，保證讓朋友雙核心感動，雙手不聽使喚連按2個讚！http://apps.facebook.com/mcdtwdqpc/,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/297328673643157/?type=3,https://www.facebook.com/mcdonalds.tw/posts/297328690309822:0,2011-12-21T10:00:53+0000,photo,Timeline Photos,101615286547831_297328673643157,29,1191,NONE,1191,false,false,chronological,59,false
